#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
31.5%	315000	-15226.623874217214	298.9966906446384	1.25e+03
31.6%	316000	-15086.12289481546	319.78874411610457	1.25e+03
31.7%	317000	-15063.63833497349	302.8454245639489	1.25e+03
31.8%	318000	-15313.622084567374	309.03740320625553	1.25e+03
31.9%	319000	-15310.187102567746	295.97731102867436	1.25e+03
32.0%	320000	-15139.790730885514	294.5662581132316	1.25e+03
32.1%	321000	-15263.995676518352	299.8919410491163	1.25e+03
32.2%	322000	-15312.920800101987	300.2851463710124	1.25e+03
32.3%	323000	-15246.4409798064	311.54510436385056	1.25e+03
32.4%	324000	-15100.70116586313	291.87024981386935	1.25e+03
32.5%	325000	-15266.668878561046	311.16053445537574	1.25e+03
32.6%	326000	-15211.161228136225	304.7917310977031	1.25e+03
32.7%	327000	-15357.295376929775	304.12443979959147	1.25e+03
32.8%	328000	-15208.015576396436	301.8017655511432	1.25e+03
32.9%	329000	-15311.711326428289	293.5314888107413	1.25e+03
33.0%	330000	-15223.641785342967	294.42987003204195	1.25e+03
33.1%	331000	-15204.351803888872	289.53622346786955	1.25e+03
33.2%	332000	-15396.051635712334	307.26740486778783	1.25e+03
33.3%	333000	-15387.122693391539	301.57997355576333	1.25e+03
33.4%	334000	-15231.196979084576	290.93175519911176	1.25e+03
33.5%	335000	-15117.007880178338	325.9102070963653	1.25e+03
33.6%	336000	-15270.78391959527	280.9438709149145	1.25e+03
33.7%	337000	-15299.669136046068	316.5069924194358	1.25e+03
33.8%	338000	-15232.255793510572	304.9971681944993	1.25e+03
33.9%	339000	-15208.09781131077	299.06521945903955	1.25e+03
34.0%	340000	-15106.454189002186	299.6852943465783	1.25e+03
34.1%	341000	-15206.044634850361	304.73756807660527	1.25e+03
34.2%	342000	-15216.54155787934	313.33517562206123	1.25e+03
34.3%	343000	-15131.572625393725	310.42094995762164	1.25e+03
34.4%	344000	-15359.882155365158	303.8237515789902	1.25e+03
34.5%	345000	-15198.368974422934	281.70064272899424	1.25e+03
34.6%	346000	-15206.716010555705	316.9135499625896	1.25e+03
34.7%	347000	-15234.306400940535	304.1986882499318	1.25e+03
34.8%	348000	-14999.7909321248	306.24637004761826	1.25e+03
34.9%	349000	-15264.857856226117	313.8460663076313	1.25e+03
35.0%	350000	-15183.19799994232	286.5461318416653	1.25e+03
35.1%	351000	-15231.754045034664	292.7706987544852	1.25e+03
35.2%	352000	-15041.234522404608	310.1093012014077	1.25e+03
35.3%	353000	-15227.377463748293	306.6711133881747	1.25e+03
35.4%	354000	-15293.333874747703	310.88219677126483	1.25e+03
35.5%	355000	-15341.079806241185	295.32550010521766	1.25e+03
35.6%	356000	-15306.66637736767	307.67765802359975	1.25e+03
35.7%	357000	-15291.161210707614	306.6660282110596	1.25e+03
35.8%	358000	-15130.17646893578	295.0098720060611	1.25e+03
35.9%	359000	-15297.273549476544	304.0593621189882	1.25e+03
36.0%	360000	-15248.4043421877	293.07278549174265	1.25e+03
36.1%	361000	-15242.87303107055	313.78695216060885	1.25e+03
36.2%	362000	-15433.693650780115	307.7763236067891	1.25e+03
36.3%	363000	-15291.157160624702	299.2010021580284	1.25e+03
36.4%	364000	-15188.003059051502	310.60222261912696	1.25e+03
36.5%	365000	-15242.698446507078	301.35716752331774	1.25e+03
36.6%	366000	-15328.313820976364	283.6821316133997	1.25e+03
36.7%	367000	-15250.122407825322	316.58619576002786	1.25e+03
36.8%	368000	-15077.12495874794	307.1643999730137	1.25e+03
36.9%	369000	-15241.144672291884	298.74180642666886	1.25e+03
37.0%	370000	-15107.8631900119	289.24696609844324	1.25e+03
37.1%	371000	-15349.082263296332	294.11545254227104	1.25e+03
37.2%	372000	-15179.027465406245	317.7214345811466	1.25e+03
37.3%	373000	-15070.125872889403	300.712658729733	1.25e+03
37.4%	374000	-14968.97116201571	297.6038043748365	1.25e+03
37.5%	375000	-15185.814318920806	286.1445324601487	1.25e+03
37.6%	376000	-15054.956122539857	291.8801564249749	1.25e+03
37.7%	377000	-15053.022852496688	289.96589730889445	1.25e+03
37.8%	378000	-15200.445808728386	321.3691145482261	1.25e+03
37.9%	379000	-15203.28376320644	291.49911001875387	1.25e+03
38.0%	380000	-15200.732678775035	299.41753502571186	1.25e+03
38.1%	381000	-15273.209325005366	296.0492956278017	1.25e+03
38.2%	382000	-15350.17057613867	302.70500308085053	1.25e+03
38.3%	383000	-15136.61271045533	295.45802788674246	1.25e+03
38.4%	384000	-15145.148993350398	292.409877432475	1.25e+03
38.5%	385000	-15241.24073170017	286.4357008655371	1.25e+03
38.6%	386000	-15196.295114204891	306.6323379181356	1.25e+03
38.7%	387000	-15144.16479494147	298.9840057483707	1.25e+03
38.8%	388000	-15089.261706340752	313.29360660264285	1.25e+03
38.9%	389000	-15058.219829872978	308.51941547135124	1.25e+03
39.0%	390000	-15126.397816649958	304.34546176782294	1.25e+03
39.1%	391000	-15155.785085342279	320.6240472055824	1.25e+03
39.2%	392000	-15213.105346467244	294.509086494061	1.25e+03
39.3%	393000	-15140.573712135214	302.22272071095995	1.25e+03
39.4%	394000	-15082.252650641924	301.2693258266919	1.24e+03
39.5%	395000	-15055.686078864237	289.73516682297895	1.24e+03
39.6%	396000	-15419.586400747306	297.6555474238271	1.24e+03
39.7%	397000	-15329.399253801275	289.6637724744321	1.24e+03
39.8%	398000	-15280.087367599794	297.5166939477388	1.24e+03
39.9%	399000	-15383.136653621623	299.5160226419285	1.24e+03
40.0%	400000	-15147.964201055067	318.1416311801541	1.24e+03
40.1%	401000	-15261.987428518165	294.2519977860989	1.24e+03
40.2%	402000	-15291.934381148792	308.3680044015592	1.24e+03
40.3%	403000	-15258.798301217335	320.34365446456513	1.24e+03
40.4%	404000	-15305.629592777463	309.5033509652017	1.24e+03
40.5%	405000	-15276.327539394115	310.5808718664565	1.24e+03
40.6%	406000	-15248.786794121763	303.0511618744254	1.24e+03
40.7%	407000	-15321.72200485794	305.19988200185	1.24e+03
40.8%	408000	-15295.367651346976	303.0180676472812	1.24e+03
40.9%	409000	-15166.156304956625	288.7718434135349	1.24e+03
41.0%	410000	-15198.406070044162	286.71520599864493	1.24e+03
41.1%	411000	-15416.102816543185	298.70326055051294	1.24e+03
41.2%	412000	-15232.543079247334	302.2287580240383	1.24e+03
41.3%	413000	-15225.904734703785	301.86474811567547	1.24e+03
41.4%	414000	-15393.32326203076	318.3175652793668	1.24e+03
41.5%	415000	-15232.614715388423	296.1032707214349	1.24e+03
41.6%	416000	-15168.517042533203	292.84562482010665	1.24e+03
41.7%	417000	-15369.976046099393	309.4666682989992	1.24e+03
41.8%	418000	-15433.312238877035	313.4361603928211	1.24e+03
41.9%	419000	-15123.905091648536	307.2566723241071	1.24e+03
42.0%	420000	-15143.36110547564	293.9319034384046	1.24e+03
42.1%	421000	-15339.331966626552	292.5458246651619	1.24e+03
42.2%	422000	-15065.410400879096	297.80899697523876	1.24e+03
42.3%	423000	-15095.322022129876	301.2652932170055	1.24e+03
42.4%	424000	-15204.159232493308	299.31157877266986	1.24e+03
42.5%	425000	-15197.180731248576	301.3660830605451	1.24e+03
42.6%	426000	-15285.627623077242	311.3588664176445	1.24e+03
42.7%	427000	-15347.629143849896	308.7874587735494	1.24e+03
42.8%	428000	-15268.265482649906	295.1804173671102	1.24e+03
