#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
39.8%	398000	-758992.844845196	309.76516383858467	596
39.9%	399000	-758857.944151789	295.5735212699885	596
40.0%	400000	-759031.1784190816	296.6583666837906	596
40.1%	401000	-759024.0513803081	301.5911694232627	596
40.2%	402000	-758912.1362168182	307.95134692354037	596
40.3%	403000	-758877.9443170752	316.79073285817543	596
40.4%	404000	-758876.1475071737	289.08051071795813	596
40.5%	405000	-759005.1220198635	308.76752364023315	596
40.6%	406000	-758844.824143179	305.000295993366	596
40.7%	407000	-759076.1592790836	300.62915566562737	596
40.8%	408000	-758971.1060105585	301.7839653843903	596
40.9%	409000	-758777.7177569307	306.4417453602371	596
41.0%	410000	-759055.6217122632	307.9401261064534	596
41.1%	411000	-758922.9979598157	304.02544881953355	596
41.2%	412000	-758982.5881361235	310.2881664487582	596
41.3%	413000	-758920.7463171927	301.07684472706	596
41.4%	414000	-758763.7539371713	300.89698993284554	596
41.5%	415000	-758991.4853066585	311.95297799862027	596
41.6%	416000	-758622.2765219938	283.5390814390276	596
41.7%	417000	-758882.997345706	306.01463876172545	596
41.8%	418000	-758918.5029399244	307.1763702665001	596
41.9%	419000	-758670.881234183	304.80728327714206	596
42.0%	420000	-758897.8952525412	288.79190366750277	596
42.1%	421000	-759009.2213369412	285.6984590979662	596
42.2%	422000	-759139.9956891511	289.9651253730453	596
42.3%	423000	-758947.296796886	286.82096810020954	596
42.4%	424000	-758927.8879037413	292.7451373903265	596
42.5%	425000	-758715.9392915876	292.08187436323664	596
42.6%	426000	-758921.9648651322	298.2852040749207	596
42.7%	427000	-758827.1741045091	299.06227429824503	596
42.8%	428000	-758944.088866167	296.66747580208636	596
42.9%	429000	-758952.9401826402	308.12595944057534	596
43.0%	430000	-758887.7726995324	296.5862794529913	596
43.1%	431000	-758701.4068872286	299.67357190303574	596
43.2%	432000	-758894.978370708	296.7649038376286	596
43.3%	433000	-758933.1659167453	304.2702636675917	596
43.4%	434000	-758954.3069532178	293.3310596983139	596
43.5%	435000	-758789.5738070877	301.05822776406535	596
43.6%	436000	-758969.2337056808	300.3584125448215	596
43.7%	437000	-759033.2010647912	301.30334584461303	596
43.8%	438000	-759034.0676890481	301.4893764088441	596
43.9%	439000	-758901.9342986582	295.1140074606079	596
44.0%	440000	-758846.4511422978	297.47042514728156	596
44.1%	441000	-758977.3684532803	292.28071574148504	596
44.2%	442000	-758964.168541367	300.8107784926999	596
44.3%	443000	-758779.7963102523	299.50875030544836	596
44.4%	444000	-759017.9943142827	291.5650365153719	596
44.5%	445000	-759099.2604660373	297.24456612202476	597
44.6%	446000	-758956.0581050686	285.20376014401353	597
44.7%	447000	-758880.4435527205	303.9778285005567	597
44.8%	448000	-759069.4585398987	307.92724854890747	597
44.9%	449000	-758862.9456599132	298.71923083836907	596
45.0%	450000	-758978.103258316	302.7932930341056	596
45.1%	451000	-758910.7786310107	304.4230674367243	596
45.2%	452000	-759034.0117087169	292.2344729098031	596
45.3%	453000	-758962.0546850096	301.1991794520498	596
45.4%	454000	-758890.7474620754	300.42841702275484	596
45.5%	455000	-758938.0112711985	287.33656785649583	596
45.6%	456000	-758761.0537557253	315.5431361529863	596
45.7%	457000	-758800.9746217362	299.3541658098734	596
45.8%	458000	-758974.4579657954	304.89812569082454	596
45.9%	459000	-759115.2030808611	295.57759873360357	596
46.0%	460000	-758978.9512312599	298.45601738512073	596
46.1%	461000	-759020.5796498456	304.1127702999759	597
