name,formula,mole_vol,mole_weight
UO2SO4:3.5H2O                      type=,UO2SO4:3.5H2O,0.0,
UO2SO4:3H2O                        type=,UO2SO4:3H2O,108.34,
UO3(alpha)                         type=,UO3,0.0,
UO3(beta)                          type=,UO3,34.46,
UO3(gamma)                         type=,UO3,0.0,
UO3:.9H2O(alpha)                   type=,UO3:.9H2O,0.0,
UOCl2                              type=,UOCl2,0.0,
UOF2                               type=,UOF2,0.0,
UOF2:H2O                           type=,UOF2:H2O,0.0,
UOFOH                              type=,UOFOH,0.0,
UOFOH:.5H2O                        type=,UOFOH:.5H2O,0.0,
UP2O7                              type=,UP2O7,0.0,
Uranium                            type= native,U,0.0,
Uranophane(alpha)                  type=,Ca(UO2SiO3OH)2:5H2O,251.336,
US2                                type=,US2,0.0,
US3                                type=,US3,0.0,
Villiaumite                        type=,NaF,0.0,
Whitlockite                        type=,Ca3(PO4)2,0.0,
Witherite                          type=,BaCO3,45.81,
Zinc                               type= native,Zn,9.162,
Zincite                            type=,ZnO,14.338,
Zn(BO2)2                           type=,Zn(BO2)2,0.0,
Zn(ClO4)2:6H2O                     type=,Zn(ClO4)2:6H2O,0.0,
Zn(NO3)2:6H2O                      type=,Zn(NO3)2:6H2O,0.0,
Zn(OH)2(beta)                      type=,Zn(OH)2,0.0,
Zn(OH)2(epsilon)                   type=,Zn(OH)2,0.0,
Zn(OH)2(gamma)                     type=,Zn(OH)2,0.0,
Zn2(OH)3Cl                         type=,Zn2(OH)3Cl,0.0,
Zn2SO4(OH)2                        type=,Zn2SO4(OH)2,0.0,
Zn3O(SO4)2                         type=,Zn3O(SO4)2,0.0,
Zn5(NO3)2(OH)8                     type=,Zn5(NO3)2(OH)8,0.0,
ZnBr2:2H2O                         type=,ZnBr2:2H2O,0.0,
ZnCl2                              type=,ZnCl2,0.0,
ZnCl2(NH3)2                        type=,ZnCl2(NH3)2,0.0,
ZnCl2(NH3)4                        type=,ZnCl2(NH3)4,0.0,
ZnCl2(NH3)6                        type=,ZnCl2(NH3)6,0.0,
ZnCO3:H2O                          type=,ZnCO3:H2O,0.0,
ZnCr2O4                            type=,ZnCr2O4,44.03,
ZnF2                               type=,ZnF2,20.88,
ZnSO4:6H2O                         type=,ZnSO4:6H2O,0.0,
ZnSO4:7H2O                         type=,ZnSO4:7H2O,0.0,
ZnSO4:H2O                          type=,ZnSO4:H2O,0.0,
ZrO2                               type=,ZrO2,0.0,
