#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
35.5%	355000	-568215.3950538635	293.9589070300206	1.55e+03
35.6%	356000	-568252.6734619141	304.24240450644214	1.55e+03
35.7%	357000	-568250.6778564453	306.235486589518	1.55e+03
35.8%	358000	-568211.6835021973	303.1198264170982	1.55e+03
35.9%	359000	-568264.5834655762	303.3745461214662	1.55e+03
36.0%	360000	-568378.0052490234	286.86234372311026	1.55e+03
36.1%	361000	-568464.6097106934	292.97547604998874	1.55e+03
36.2%	362000	-568127.8107910156	297.0354329528002	1.55e+03
36.3%	363000	-568024.3743591309	298.820003896455	1.56e+03
36.4%	364000	-568352.0177001953	299.4312750996854	1.56e+03
36.5%	365000	-568120.4870605469	304.12329816543553	1.56e+03
36.6%	366000	-568168.7412109375	311.5759511326671	1.56e+03
36.7%	367000	-568131.6129760742	296.06155785556433	1.56e+03
36.8%	368000	-568278.3581542969	299.57856671557886	1.56e+03
36.9%	369000	-568290.9318237305	298.2856687230549	1.56e+03
37.0%	370000	-568243.7008514404	294.6886788174507	1.56e+03
37.1%	371000	-568233.0735473633	303.988879545854	1.56e+03
37.2%	372000	-568333.9403991699	295.4058494703904	1.56e+03
37.3%	373000	-568390.9677734375	295.7586977417328	1.56e+03
37.4%	374000	-568292.8363037109	305.0039704385242	1.56e+03
37.5%	375000	-568623.1715698242	290.3271152603662	1.56e+03
37.6%	376000	-568317.6509399414	302.4593639291392	1.56e+03
37.7%	377000	-568276.4076538086	299.39566648973016	1.56e+03
37.8%	378000	-568016.1140441895	291.4492974168685	1.56e+03
37.9%	379000	-568298.5433349609	297.706381969706	1.56e+03
38.0%	380000	-568193.9235839844	294.5232180877136	1.56e+03
38.1%	381000	-568238.7528076172	292.24249899203437	1.56e+03
38.2%	382000	-568219.6649169922	305.3346655074462	1.56e+03
38.3%	383000	-568099.3215026855	290.2221655333541	1.56e+03
38.4%	384000	-568251.486907959	294.5022992978678	1.56e+03
38.5%	385000	-568245.9090576172	297.91482428429424	1.56e+03
38.6%	386000	-568154.7387695312	294.64467651189096	1.56e+03
38.7%	387000	-568348.12890625	296.7565556839981	1.56e+03
38.8%	388000	-568372.2676086426	291.07448947881903	1.56e+03
38.9%	389000	-568243.5719299316	307.7882334167637	1.56e+03
39.0%	390000	-568184.274230957	308.9066379660183	1.56e+03
39.1%	391000	-568319.5994262695	295.82986433596596	1.56e+03
39.2%	392000	-568267.8732299805	298.8405377774571	1.56e+03
39.3%	393000	-568368.0090332031	306.20177345670305	1.56e+03
39.4%	394000	-568371.1937255859	305.4954167629268	1.56e+03
39.5%	395000	-568299.4993896484	306.69167605847286	1.56e+03
39.6%	396000	-568436.1433410645	307.1063329967401	1.56e+03
39.7%	397000	-568224.9207763672	302.58201430400914	1.56e+03
39.8%	398000	-568180.0842132568	312.5575338150954	1.56e+03
39.9%	399000	-568410.4876861572	304.46568763090437	1.56e+03
40.0%	400000	-568176.012588501	289.44180383209584	1.56e+03
40.1%	401000	-568529.3775024414	301.0903350764868	1.56e+03
40.2%	402000	-568341.257598877	296.0651101478673	1.56e+03
40.3%	403000	-568297.921875	293.7545468708045	1.56e+03
40.4%	404000	-568369.3335876465	293.78879943484947	1.56e+03
40.5%	405000	-568327.5459594727	295.40767161109596	1.56e+03
40.6%	406000	-568192.8919067383	297.5259535068088	1.56e+03
40.7%	407000	-568067.7899169922	294.50317319724104	1.56e+03
40.8%	408000	-568355.5711545944	307.4185289255853	1.56e+03
40.9%	409000	-568478.4409790039	290.7457737916384	1.56e+03
41.0%	410000	-568332.4918823242	311.27264011755256	1.56e+03
41.1%	411000	-568299.969543457	288.20493227891285	1.56e+03
41.2%	412000	-568338.7385253906	318.9748877099265	1.56e+03
41.3%	413000	-568197.3984375	300.03344387776815	1.56e+03
41.4%	414000	-568251.4530944824	294.00449092455244	1.56e+03
41.5%	415000	-568551.3569946289	311.9314929678233	1.56e+03
41.6%	416000	-568229.9294433594	297.8728025708711	1.56e+03
41.7%	417000	-568331.404296875	295.1273011929036	1.56e+03
41.8%	418000	-568307.8559570312	291.60859223396045	1.56e+03
41.9%	419000	-568229.604309082	289.94075015579193	1.56e+03
42.0%	420000	-568619.7498779297	307.6443984439024	1.56e+03
42.1%	421000	-568187.2576293945	289.2844111020806	1.56e+03
42.2%	422000	-568233.2813110352	305.2696686735093	1.56e+03
42.3%	423000	-568553.6758422852	293.30277190496304	1.56e+03
42.4%	424000	-568160.7792358398	299.02076348141344	1.56e+03
42.5%	425000	-568243.7607727051	299.68140967585026	1.56e+03
42.6%	426000	-568345.172668457	304.7697032058575	1.56e+03
42.7%	427000	-568562.8526611328	298.0376382312696	1.56e+03
42.8%	428000	-568336.0102081299	299.5911939954627	1.56e+03
42.9%	429000	-568404.3513183594	296.62048065185303	1.56e+03
